"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"labeling","labeling","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.0.2"
"later","later","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.0.1",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"latticeExtra","latticeExtra","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.6-29",NA,"R (>= 3.6.0), lattice","grid, stats, utils, grDevices, png, jpeg, RColorBrewer",NA,"maps, mapproj, deldir, tripack, quantreg, zoo, MASS, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"lavaan","lavaan","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.6-7",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"lazyeval","lazyeval","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"lifecycle","lifecycle","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.2.0",NA,"R (>= 3.2)","glue, rlang (>= 0.4.0)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"lisrelToR","lisrelToR","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.1.4",NA,"R (>= 2.15.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"lme4","lme4","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1-23",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4),
statmod","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"lubridate","lubridate","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.7.9",NA,"methods, R (>= 3.2)","generics, Rcpp (>= 0.12.13)","Rcpp","covr, knitr, testthat (>= 2.1.0), vctrs (>= 0.3.0)","chron, timeDate, tis, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"magrittr","magrittr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"markdown","markdown","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1",NA,"R (>= 2.11.1)","utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"matrixcalc","matrixcalc","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.0-3",NA,"R (>= 2.0.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.2"
"MeMoBootR","MeMoBootR","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.0.0.7001",NA,"R (>= 3.5.0), boot, diagram, ggplot2",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.0.2"
"memoise","memoise","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"mi","mi","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.0",NA,"R (>= 3.0.0), methods, Matrix, stats4","arm (>= 1.4-11)",NA,"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"mice","mice","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","3.11.0",NA,"R (>= 2.10.0)","broom, dplyr, generics, graphics, lattice, methods, Rcpp,
stats, tidyr, utils","Rcpp","broom.mixed, knitr, lme4, MASS, mitml, miceadds, nnet, pan,
randomForest, rmarkdown, rpart, survival, testthat, lmtest",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"mime","mime","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.9",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","4.0.2"
"minqa","minqa","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"mnormt","mnormt","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.0.1",NA,"R (>= 4.0.0)","tmvnsim (>= 1.0-2)",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"modelr","modelr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.1.8",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"multcomp","multcomp","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4-13",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"munsell","munsell","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"mvtnorm","mvtnorm","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1-1",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"nloptr","nloptr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.2.2.2",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.0.2"
"numDeriv","numDeriv","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"nvimcom","nvimcom","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.9-102",NA,"R (>= 3.0.0)","methods, tools",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"OpenMx","OpenMx","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.17.4",NA,"R (>= 3.5.0)","digest, MASS, Matrix, methods, Rcpp, parallel","Rcpp, RcppEigen, StanHeaders (>= 2.10.0.2), BH (>=
1.69.0-1), rpf (>= 0.45)","mvtnorm, numDeriv, roxygen2 (>= 6.1), Rmpi, rpf (>= 0.45),
snowfall, lme4, covr, testthat",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.0.2"
"openssl","openssl","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.2",NA,NA,"askpass",NA,"testthat (>= 2.1.0), digest, knitr, rmarkdown, jsonlite,
jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"openxlsx","openxlsx","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","4.1.5",NA,"R (>= 3.3.0)","grDevices, methods, Rcpp, stats, utils, zip, stringi","Rcpp","knitr, testthat, roxygen2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"pbapply","pbapply","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4-2",NA,"R (>= 3.2.0)","parallel",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"pbivnorm","pbivnorm","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.6.0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"pillar","pillar","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.6",NA,NA,"cli, crayon (>= 1.3.4), ellipsis, fansi, lifecycle, rlang (>=
0.3.0), utf8 (>= 1.1.0), vctrs (>= 0.2.0)",NA,"bit64, knitr, lubridate, testthat (>= 2.0.0), withr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pkgbuild","pkgbuild","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,"R (>= 3.1)","callr (>= 3.2.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, cpp11, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"pkgconfig","pkgconfig","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"pkgload","pkgload","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.0",NA,NA,"cli, crayon, desc, methods, pkgbuild, rlang, rprojroot,
rstudioapi, utils, withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"plyr","plyr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.8.6",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, covr, doParallel, foreach, iterators, itertools,
tcltk, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"png","png","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"polyclip","polyclip","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","4.0.2"
"praise","praise","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"prettyunits","prettyunits","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,NA,NA,"codetools, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"processx","processx","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","3.4.3",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"progress","progress","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"promises","promises","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,"R6, Rcpp, later, rlang, stats, magrittr","later, Rcpp","testthat, future, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"ps","ps","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.3.4",NA,"R (>= 3.1)","utils",NA,"callr, covr, curl, pingr, processx (>= 3.1.0), R6, rlang,
testthat, tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"psy","psy","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.0.2"
"psych","psych","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.0.7",NA,NA,"mnormt,parallel,stats,graphics,grDevices,methods,lattice,nlme",NA,"psychTools, GPArotation, lavaan, sem, lme4,Rcsdp, graph,
Rgraphviz",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"purrr","purrr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.3.4",NA,"R (>= 3.2)","magrittr (>= 1.5), rlang (>= 0.3.1)",NA,"covr, crayon, dplyr (>= 0.7.8), knitr, rmarkdown, testthat,
tibble, tidyselect",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"qap","qap","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.1-1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"qgraph","qgraph","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.6.5",NA,"R (>= 3.0.0)","Rcpp (>= 1.0.0), methods, grDevices, psych, lavaan, plyr,
Hmisc, igraph, jpeg, png, colorspace, Matrix, corpcor,
reshape2, ggplot2, glasso, huge, fdrtool, d3Network, gtools,
BDgraph, parallel, pbapply, abind, dplyr, tidygraph, ggraph","Rcpp","sendplot",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"R6","R6","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.4.1",NA,"R (>= 3.0)",NA,NA,"knitr, microbenchmark, pryr, testthat, ggplot2, scales",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rcmdcheck","rcmdcheck","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.3.3",NA,NA,"callr (>= 3.1.1.9000), cli (>= 1.1.0), crayon, desc (>=
1.2.0), digest, pkgbuild, prettyunits, R6, rprojroot,
sessioninfo (>= 1.1.1), utils, withr, xopen",NA,"covr, knitr, mockery, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"RColorBrewer","RColorBrewer","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1-2",NA,"R (>= 2.0.0)",NA,NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"no","4.0.2"
"Rcpp","Rcpp","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.0.5",NA,NA,"methods, utils",NA,"tinytest, inline, rbenchmark, pkgKitten (>= 0.1.2)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"RcppArmadillo","RcppArmadillo","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.9.900.2.0",NA,"R (>= 3.3.0)","Rcpp (>= 0.11.0), stats, utils, methods","Rcpp","tinytest, Matrix, pkgKitten, reticulate, slam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"RcppEigen","RcppEigen","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.3.3.7.0",NA,"R (>= 2.15.1)","Matrix (>= 1.1-0), Rcpp (>= 0.11.0), stats, utils","Rcpp","inline, tinytest, pkgKitten, microbenchmark",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"RcppParallel","RcppParallel","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","5.0.2",NA,"R (>= 3.0.2)",NA,NA,"Rcpp, RUnit, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"readr","readr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.3.1",NA,"R (>= 3.1)","Rcpp (>= 0.12.0.5), tibble, hms (>= 0.4.1), R6, clipr, crayon,
methods","Rcpp, BH","curl, testthat, knitr, rmarkdown, stringi, covr, spelling",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"readxl","readxl","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.3.1",NA,NA,"cellranger, Rcpp (>= 0.12.18), tibble (>= 1.3.1), utils","progress, Rcpp","covr, knitr, rmarkdown, rprojroot (>= 1.1), testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"registry","registry","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.5-1",NA,"R (>= 2.6.0)","utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"regsem","regsem","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.5.2",NA,"lavaan, Rcpp, Rsolnp",NA,"Rcpp, RcppArmadillo","snowfall, MASS, GA, caret, glmnet, ISLR, lbfgs, numDeriv,
psych, knitr, nloptr, NlcOptim, optimx, semPlot, colorspace,
plyr, matrixStats, stringr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rematch","rematch","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.0.1",NA,NA,NA,NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rematch2","rematch2","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.1.2",NA,NA,"tibble",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"remotes","remotes","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.2.0",NA,"R (>= 3.0.0)","methods, stats, tools, utils",NA,"brew, callr, codetools, curl, covr, git2r (>= 0.23.0), knitr,
mockery, pkgbuild (>= 1.0.1), pingr, rmarkdown, rprojroot,
testthat, withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.2"
"reprex","reprex","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.3.0",NA,"R (>= 3.1)","callr (>= 2.0.0), clipr (>= 0.4.0), fs, rlang, rmarkdown,
utils, whisker, withr",NA,"covr, devtools, fortunes, knitr, miniUI, rprojroot,
rstudioapi, shiny, styler (>= 1.0.2), testthat (>= 2.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"reshape2","reshape2","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"rex","rex","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.2.0",NA,NA,"lazyeval",NA,"testthat, knitr, rmarkdown, dplyr, ggplot2, magrittr, Hmisc,
stringr, rvest, roxygen2, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rjson","rjson","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.2.20",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.2"
"rlang","rlang","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.4.7",NA,"R (>= 3.2.0)",NA,NA,"cli, covr, crayon, glue, magrittr, methods, pillar,
rmarkdown, testthat (>= 2.3.0), vctrs (>= 0.2.3), withr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"rmarkdown","rmarkdown","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.3",NA,"R (>= 3.0)","tools, utils, knitr (>= 1.22), yaml (>= 2.1.19), htmltools (>=
0.3.5), evaluate (>= 0.13), base64enc, jsonlite, mime, tinytex
(>= 0.11), xfun, methods, stringr (>= 1.2.0)",NA,"shiny (>= 0.11), tufte, testthat, digest, dygraphs, tibble,
fs, pkgdown, rsconnect",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"rockchalk","rockchalk","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.8.144",NA,"R (>= 2.10)","grDevices, methods, lme4, carData, MASS, kutils",NA,"tables, Hmisc, car",NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.0.2"
"roxygen2","roxygen2","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","7.1.1",NA,"R (>= 3.2)","brew, commonmark, desc (>= 1.2.0), digest, knitr, methods,
pkgload (>= 1.0.2), purrr (>= 0.3.3), R6 (>= 2.1.2), Rcpp (>=
0.11.0), rlang, stringi, stringr (>= 1.0.0), utils, xml2","Rcpp","covr, devtools, rmarkdown, testthat (>= 2.1.0), R.methodsS3,
R.oo",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"rpf","rpf","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.0.4",NA,"methods, parallel, R (>= 2.14.0)","Rcpp (>= 1.0.2), mvtnorm, lifecycle","Rcpp, RcppEigen","testthat, roxygen2, ggplot2, reshape2, gridExtra, numDeriv,
knitr, mirt",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.0.2"
"rprojroot","rprojroot","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.3-2",NA,"R (>= 3.0.0)","backports",NA,"testthat, mockr, knitr, withr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"Rsolnp","Rsolnp","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.16",NA,"R (>= 2.10.0)","truncnorm, parallel, stats",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.2"
"rstudioapi","rstudioapi","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.11",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"RUnit","RUnit","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.4.32",NA,"R (>= 2.5.0), utils (>= 2.5.0), methods (>= 2.5.0), graphics
(>= 2.5.0)",NA,NA,"XML (>= 3.1.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"rversions","rversions","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.0.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"rvest","rvest","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.3.6",NA,"R (>= 3.2), xml2","httr (>= 0.5), magrittr, selectr",NA,"covr, knitr, png, rmarkdown, spelling, stringi (>= 0.3.1),
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.2"
"sandwich","sandwich","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.5-1",NA,"R (>= 2.10.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.0.2"
"scales","scales","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,"R (>= 3.2)","farver (>= 2.0.3), labeling, lifecycle, munsell (>= 0.5), R6,
RColorBrewer, viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), testthat (>=
2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"selectr","selectr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.0.2"
"sem","sem","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","3.1-11",NA,"R (>= 3.5.0), stats","matrixcalc, MASS, boot, mi (>= 0.9-99), utils",NA,"polycor, DiagrammeR",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.2"
"semPlot","semPlot","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.2",NA,"R (>= 2.15.0)","qgraph (>= 1.2.4), lavaan (>= 0.5-11), sem (>= 3.1-0), plyr,
XML, igraph (>= 0.6-3), lisrelToR, rockchalk, colorspace,
corpcor, methods, OpenMx, regsem",NA,"MplusAutomation (>= 0.5-3)",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"seriation","seriation","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.2-8",NA,"R (>= 2.14.0)","TSP, qap, grid, cluster, gclus, dendextend, colorspace, MASS,
gplots, registry, methods, stats, grDevices",NA,"biclust, testthat, DendSer, GA",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"sessioninfo","sessioninfo","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.1.1",NA,NA,"cli, tools, utils, withr",NA,"callr, covr, mockery, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.2"
"shape","shape","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.4",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.0.2"
"StanHeaders","StanHeaders","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.21.0-5",NA,"R (>= 3.4.0)","RcppParallel (>= 5.0.1)","RcppEigen, RcppParallel (>= 5.0.1)","Rcpp, BH, knitr (>= 1.15.1), rmarkdown, Matrix, methods,
rstan",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"statmod","statmod","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.34",NA,"R (>= 3.0.0)","stats, graphics",NA,"MASS, tweedie",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.2"
"stringi","stringi","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.6",NA,"R (>= 2.14)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.0.2"
"stringr","stringr","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","1.4.0",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.0.2"
"sys","sys","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","3.4",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
"testthat","testthat","/home/xllvr/R/x86_64-pc-linux-gnu-library/4.0","2.3.2",NA,"R (>= 3.1)","cli, crayon (>= 1.3.4), digest, ellipsis, evaluate, magrittr,
methods, pkgload, praise, R6 (>= 2.2.0), rlang (>= 0.4.1),
withr (>= 2.0.0)",NA,"covr, curl (>= 0.9.5), devtools, knitr, rmarkdown, usethis,
vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.2"
